Diet,DHA_COMP,EPA_COMP,DPA_COMP,ALA_COMP,LIN_COMP,ARA_COMP,OLA_COMP,PAM_COMP
Veg,0.0044,0.0029,3.00E-04,0.03076667,0.0384,2.00E-04,0.1052667,0.03906667
Fish,0.0216,0.01057,0.0021,0.00295333,0.00743333,0.00136667,0.03026667,0.03343333
