"","Ingredient","Parameter","As.fed","Unit"
"85","fish-oil-capelin","C18:3 linolenic acid",0.3,"%"
"86","fish-oil-capelin","C20:4 arachidonic acid",0.1,"%"
"87","fish-oil-capelin","C20:5 eicosapentaenoic acid",3.7,"%"
"88","fish-oil-capelin","C22:5 docosapentaenoic acid",0.3,"%"
"89","fish-oil-capelin","C22:6 docosahexaenoic acid",2,"%"
"90","fish-oil-capelin","Fatty acids",100,"%"
"91","fish-oil-sardine","C16:0 palmitic acid",16.2,"%"
"92","fish-oil-sardine","C18:1 oleic acid",11.4,"%"
"93","fish-oil-sardine","C18:2 linoleic acid",1.3,"%"
"94","fish-oil-sardine","C18:3 linolenic acid",0.9,"%"
"95","fish-oil-sardine","C20:4 arachidonic acid",1.6,"%"
"96","fish-oil-sardine","C20:5 eicosapentaenoic acid",16.9,"%"
"97","fish-oil-sardine","C22:5 docosapentaenoic acid",2.5,"%"
"98","fish-oil-sardine","C22:6 docosahexaenoic acid",21.9,"%"
"99","fish-oil-sardine","Fatty acids",100,"%"
"100","wheat-gluten","C16:0 palmitic acid",0.2136,"%"
"101","wheat-gluten","C18:1 oleic acid",0.1824,"%"
"102","wheat-gluten","C18:2 linoleic acid",0.6768,"%"
"103","wheat-gluten","C18:3 linolenic acid",0.0708,"%"
"104","wheat-gluten","C20:4 arachidonic acid",0,"%"
"105","wheat-gluten","C20:5 eicosapentaenoic acid",0,"%"
"106","wheat-gluten","C22:5 docosapentaenoic acid",0,"%"
"107","wheat-gluten","C22:6 docosahexaenoic acid",0,"%"
"108","wheat-gluten","Fatty acids",0.9,"%"
"109","soybean-protein-concentrate-protein-70-90","C16:0 palmitic acid",0.1932,"%"
"110","soybean-protein-concentrate-protein-70-90","C18:1 oleic acid",0.398475,"%"
"111","soybean-protein-concentrate-protein-70-90","C18:2 linoleic acid",0.9315,"%"
"112","soybean-protein-concentrate-protein-70-90","C18:3 linolenic acid",0.1242,"%"
"113","soybean-protein-concentrate-protein-70-90","C20:4 arachidonic acid",0,"%"
"114","soybean-protein-concentrate-protein-70-90","C20:5 eicosapentaenoic acid",0,"%"
"115","soybean-protein-concentrate-protein-70-90","C22:5 docosapentaenoic acid",0,"%"
"116","soybean-protein-concentrate-protein-70-90","C22:6 docosahexaenoic acid",0,"%"
"117","soybean-protein-concentrate-protein-70-90","Fatty acids",1.29375,"%"
"118","feather-meal","C16:0 palmitic acid",1.4025,"%"
"119","feather-meal","C18:1 oleic acid",1.649,"%"
"120","feather-meal","C18:2 linoleic acid",0.2125,"%"
"121","feather-meal","C18:3 linolenic acid",0.02125,"%"
"122","feather-meal","C20:4 arachidonic acid",0,"%"
"123","feather-meal","C20:5 eicosapentaenoic acid",0,"%"
"124","feather-meal","C22:5 docosapentaenoic acid",0,"%"
"125","feather-meal","C22:6 docosahexaenoic acid",0,"%"
"126","feather-meal","Fatty acids",2.125,"%"
"127","Tallow","C16:0 palmitic acid",26.3,"%"
"128","Tallow","C18:1 oleic acid",38.5,"%"
"129","Tallow","C18:2 linoleic acid",2.8,"%"
"130","Tallow","C18:3 linolenic acid",0.7,"%"
"131","Tallow","C20:4 arachidonic acid",0,"%"
"132","Tallow","C20:5 eicosapentaenoic acid",0,"%"
"133","Tallow","C22:5 docosapentaenoic acid",0,"%"
"134","Tallow","C22:6 docosahexaenoic acid",0,"%"
"135","Tallow","Fatty acids",100,"%"
"136","processed-animal-proteins-poultry-protein-70","C16:0 palmitic acid",1.68483,"%"
"137","processed-animal-proteins-poultry-protein-70","C18:1 oleic acid",3.42503,"%"
"138","processed-animal-proteins-poultry-protein-70","C18:2 linoleic acid",1.51081,"%"
"139","processed-animal-proteins-poultry-protein-70","C18:3 linolenic acid",0.11865,"%"
"140","processed-animal-proteins-poultry-protein-70","C20:4 arachidonic acid",0,"%"
"141","processed-animal-proteins-poultry-protein-70","C20:5 eicosapentaenoic acid",0,"%"
"142","processed-animal-proteins-poultry-protein-70","C22:5 docosapentaenoic acid",0,"%"
"143","processed-animal-proteins-poultry-protein-70","C22:6 docosahexaenoic acid",0,"%"
"144","processed-animal-proteins-poultry-protein-70","Fatty acids",5.537,"%"
"145","Poultry-fat","C16:0 palmitic acid",21.3,"%"
"146","Poultry-fat","C18:1 oleic acid",43.3,"%"
"147","Poultry-fat","C18:2 linoleic acid",19.1,"%"
"148","Poultry-fat","C18:3 linolenic acid",1.5,"%"
"149","Poultry-fat","C20:4 arachidonic acid",0,"%"
"150","Poultry-fat","C20:5 eicosapentaenoic acid",0,"%"
"151","Poultry-fat","C22:5 docosapentaenoic acid",0,"%"
"152","Poultry-fat","C22:6 docosahexaenoic acid",0,"%"
"153","Poultry-fat","Fatty acids",100,"%"
"154","Potato-protein-concentrate","C16:0 palmitic acid",0.05994,"%"
"155","Potato-protein-concentrate","C18:1 oleic acid",0.006327,"%"
"156","Potato-protein-concentrate","C18:2 linoleic acid",0.184815,"%"
"157","Potato-protein-concentrate","C18:3 linolenic acid",0.057942,"%"
"158","Potato-protein-concentrate","C20:4 arachidonic acid",0,"%"
"159","Potato-protein-concentrate","C20:5 eicosapentaenoic acid",0,"%"
"160","Potato-protein-concentrate","C22:5 docosapentaenoic acid",0,"%"
"161","Potato-protein-concentrate","C22:6 docosahexaenoic acid",0,"%"
"162","Potato-protein-concentrate","Fatty acids",0.18315,"%"
"163","Pea-protein-concentrate","C16:0 palmitic acid",0.515944,"%"
"164","Pea-protein-concentrate","C18:1 oleic acid",0.894784,"%"
"165","Pea-protein-concentrate","C18:2 linoleic acid",1.706584,"%"
"166","Pea-protein-concentrate","C18:3 linolenic acid",0.317504,"%"
"167","Pea-protein-concentrate","C20:4 arachidonic acid",0,"%"
"168","Pea-protein-concentrate","C20:5 eicosapentaenoic acid",0,"%"
"169","Pea-protein-concentrate","C22:5 docosapentaenoic acid",0,"%"
"170","Pea-protein-concentrate","C22:6 docosahexaenoic acid",0,"%"
"171","Pea-protein-concentrate","Fatty acids",2.95856,"%"
"172","wheat-flour-gruau-d-durum","C16:0 palmitic acid",0.46992,"%"
"173","wheat-flour-gruau-d-durum","C18:1 oleic acid",0.40128,"%"
"174","wheat-flour-gruau-d-durum","C18:2 linoleic acid",1.48896,"%"
"175","wheat-flour-gruau-d-durum","C18:3 linolenic acid",0.15576,"%"
"176","wheat-flour-gruau-d-durum","C20:4 arachidonic acid",0,"%"
"177","wheat-flour-gruau-d-durum","C20:5 eicosapentaenoic acid",0,"%"
"178","wheat-flour-gruau-d-durum","C22:5 docosapentaenoic acid",0,"%"
"179","wheat-flour-gruau-d-durum","C22:6 docosahexaenoic acid",0,"%"
"180","wheat-flour-gruau-d-durum","Fatty acids",2.112,"%"
"181","Blood-meal","C16:0 palmitic acid",0.3591,"%"
