"","Ingredient","Parameter","As.fed","Unit"
"462","monosodium-phosphate-anhydrous","Crude fibre",0,"%"
"463","monosodium-phosphate-anhydrous","Crude fat",0,"%"
"464","monosodium-phosphate-anhydrous","Ash",99.9,"%"
"465","monosodium-phosphate-anhydrous","Starch",0,"%"
"466","monosodium-phosphate-anhydrous","Total sugars",0,"%"
"467","monosodium-phosphate-anhydrous","Mineral_percentage",44.5,"%"
"468","monosodium-phosphate-anhydrous","Phosp_percentage",25.5,"%"
"469","whey-permeate","Water",2.3,"%"
"470","maize","Water",13.7,"%"
"471","corn-gluten-feed","Water",12.2,"%"
"472","corn-gluten-meal","Water",9.09999999999999,"%"
"473","fish-meal-protein-65","Water",7.90000000000001,"%"
"474","fish-meal-protein-70","Water",7.8,"%"
"475","fish-oil-anchovy","Water",0,"%"
"476","fish-oil-menhaden","Water",0,"%"
"477","fish-oil-herring","Water",0,"%"
"478","fish-oil-capelin","Water",0,"%"
"479","fish-oil-sardine","Water",0,"%"
"480","wheat-gluten","Water",6,"%"
"481","soybean-protein-concentrate-protein-70-90","Water",7.3,"%"
"482","feather-meal","Water",8,"%"
"483","Tallow","Water",0,"%"
"484","processed-animal-proteins-poultry-protein-70","Water",6.5,"%"
"485","Poultry-fat","Water",0,"%"
"486","Potato-protein-concentrate","Water",8.2,"%"
"487","Pea-protein-concentrate","Water",6.8,"%"
"488","wheat-flour-gruau-d-durum","Water",13.4,"%"
"489","Blood-meal","Water",6.59999999999999,"%"
"490","rapeseed-oil","Water",0.0999999999999943,"%"
"491","maize-starch","Water",11.8,"%"
"492","wheat-feed-flour","Water",12.4,"%"
"493","DL-methionine","Water",0.5,"%"
"494","monosodium-phosphate-anhydrous","Water",0.0999999999999943,"%"
