"ParticleSize","cumsum"
3,3.26688180005983e-05
4,9.46844279070099e-05
5,0.000186570808616023
6,0.00030301801435732
7,0.000454133393735651
8,0.000615817551067164
9,0.000816626912721305
10,0.0010304507990556
11,0.0012602863088167
12,0.00150514256369339
13,0.00178455137920109
14,0.00209233517454465
15,0.00242627972644808
16,0.00277585057647797
17,0.00313066346969339
18,0.00348547636290881
19,0.00385000751057936
20,0.00423233155371631
21,0.00462805850855237
22,0.00503333807589857
23,0.00544817025575492
24,0.00587693202989118
25,0.00632832912078222
26,0.00678776601652163
27,0.00724605110550231
28,0.00770529969395689
29,0.00817909748210491
30,0.00866434134153022
31,0.00915917594058982
32,0.0096636012792837
33,0.0101800097559351
34,0.0107132008315247
35,0.0112579616081547
36,0.0118013648789723
37,0.0123434106439777
38,0.0128840989031707
39,0.0134407293600786
40,0.014005867373217
41,0.0145795129425858
42,0.015161666068185
43,0.015752134631419
44,0.0163480695287722
45,0.0169494707602445
46,0.017556338325836
47,0.0181686722255465
48,0.0187857505701649
49,0.0194074251636661
50,0.0200336134198487
51,0.0206642808654364
52,0.0212994275004293
53,0.0219521505930921
54,0.022610785186102
55,0.023269419779112
56,0.0239280543721219
57,0.0245876785713077
58,0.025249719616629
59,0.0259141775080857
60,0.0265810522456779
61,0.0272509936934686
62,0.0279244133846649
63,0.0286013113192668
64,0.0292816874972742
65,0.0299655419186872
66,0.0306528745835058
67,0.0313436662711382
68,0.0320378351977024
69,0.0327353813631984
70,0.0334363047676264
71,0.0341406054109861
72,0.0348482832932778
73,0.0355602691997868
74,0.0362816140395131
75,0.0370123178124566
76,0.0377524146015789
77,0.0385039406779518
78,0.0392668960415751
79,0.0400382381208928
80,0.0408177561153669
81,0.0416054500249977
82,0.0423997766854829
83,0.0431989310509306
84,0.0440029131213407
85,0.0448117228967132
86,0.0456253603770481
87,0.0464438255623454
88,0.0472671184526052
89,0.0480957729991468
90,0.0489305179846567
91,0.0497713534091349
92,0.0506166576469941
93,0.0514662506452747
94,0.0523201324039769
95,0.0531783029231006
96,0.0540402611358098
97,0.0549058677760953
98,0.0557751228439571
99,0.0566480263393952
100,0.0575336461763767
101,0.0584233314930447
102,0.059317082289399
103,0.0602148985654397
104,0.0611187765215435
105,0.0620306266985771
106,0.0629504490965407
107,0.0638782437154342
108,0.0648138628837688
109,0.0657557857949104
110,0.066704012448859
111,0.0676585428456145
112,0.0686193769851771
113,0.0695865148675467
114,0.0705599564927233
115,0.0715389501588754
116,0.07252224313373
117,0.0735098354172871
118,0.0745017270095467
119,0.0754979179105088
120,0.0764984081201734
121,0.0775031976385405
122,0.0785122864656102
123,0.0795235159048427
124,0.08053654615321
125,0.0815513772107121
126,0.0825680090773491
127,0.0835864417531208
128,0.0846066752380273
129,0.0856287095320687
130,0.0866525446352448
131,0.0876781805475558
132,0.0887069498063772
133,0.0897505247978952
134,0.0908089055221098
135,0.0918771963687798
136,0.0929504108977783
137,0.0940285491091051
138,0.0951116110027603
139,0.0961995965787439
140,0.097292505837056
141,0.0983903387776964
142,0.0994930954006652
143,0.100600775705962
144,0.101713379693588
145,0.102830907363542
146,0.10395188857419
147,0.105075170327167
148,0.106200752622473
149,0.10732863546011
150,0.108458818840076
151,0.109591302762372
152,0.110726087226997
153,0.111863172233953
154,0.113002557783237
155,0.114144243874852
156,0.115288230508796
157,0.116434372766878
158,0.117581810705245
159,0.118730544323897
160,0.119880573622835
161,0.121031898602059
162,0.122184519261567
163,0.123338435601362
164,0.124493647621442
165,0.125650155321807
166,0.126806681823078
167,0.127962823411645
168,0.129118580087508
169,0.130273951850665
170,0.131428938701118
171,0.132583540638866
172,0.13373775766391
173,0.134891589776249
174,0.136045036975883
175,0.137198099262813
176,0.138350776637038
177,0.139503069098558
178,0.140654976647374
179,0.141806499283485
180,0.142957637006892
181,0.144108389817593
182,0.145258115948058
183,0.146406481774555
184,0.147553487297085
185,0.148699132515648
186,0.149843417430244
187,0.150986342040873
188,0.152127906347535
189,0.153268110350229
190,0.154406954048957
191,0.155544437443717
192,0.15668056053451
193,0.157815323321336
194,0.158948725804195
195,0.160080767983086
196,0.161211449858011
197,0.162340771428968
198,0.163468732695958
199,0.164595333658981
200,0.165720565040748
201,0.166844409263953
202,0.167966866328596
203,0.169087936234678
204,0.170207618982198
205,0.171325914571156
206,0.172442823001553
207,0.173558344273388
208,0.174672478386661
209,0.175785225341373
210,0.176896585137523
211,0.178006557775112
212,0.179115143254138
213,0.180222341574604
214,0.181328152736507
215,0.182432576739849
216,0.183535613584629
217,0.184637263270848
218,0.185737525798505
219,0.1868364011676
220,0.187933869825806
221,0.189029645112248
222,0.190123727026925
223,0.191216115569838
224,0.192306810740987
225,0.193395812540371
226,0.194483120967991
227,0.195568736023846
228,0.196652657707937
229,0.197734886020264
230,0.198815420960826
231,0.199894262529624
232,0.200971410726658
233,0.202046865551927
234,0.203120627005432
235,0.204192710713394
236,0.205264352761791
237,0.206335553150621
238,0.207406311879886
239,0.208476628949586
240,0.209546504359719
241,0.210615938110287
242,0.211684930201289
243,0.212753480632726
244,0.213821589404597
245,0.214889256516902
246,0.215956481969641
247,0.217023265762815
248,0.218089607896423
249,0.219155508370465
250,0.220220967184942
251,0.221285984339853
252,0.222350559835198
253,0.223414693670977
254,0.224478385847191
255,0.225541636363839
256,0.226604445220922
257,0.227666812418438
258,0.228728737956389
259,0.229790221834775
260,0.230850223612204
261,0.231904890893388
262,0.232954223678328
263,0.233998221967023
264,0.235036885759474
265,0.23607021505568
266,0.237098209855642
267,0.238120870159359
