"Month","Mean_DON"
1,4.44
2,3.62063883380674
3,4.19489254515247
4,3.92004751951694
5,4.65974864676564
6,5.51275523875877
7,6.19359290422852
8,5.40476445683048
9,5.29811351090626
10,5.77991853797095
11,5.5039793129321
12,5.25905729138753
