"value","DaysSinceStart","MinimumValue"
1.760747583,380,1.760747583
1.92492405490323,381,1.760747583
2.08910052680645,382,1.760747583
2.25327699870968,383,1.760747583
2.4174534706129,384,1.760747583
2.58162994251613,385,1.760747583
2.74580641441935,386,1.760747583
2.90998288632258,387,1.760747583
3.07415935822581,388,1.760747583
3.23833583012903,389,1.760747583
3.40251230203226,390,1.760747583
3.56668877393548,391,1.760747583
3.73086524583871,392,1.760747583
3.89504171774194,393,1.760747583
4.05921818964516,394,1.760747583
4.22339466154839,395,1.760747583
4.38757113345161,396,1.760747583
4.55174760535484,397,1.760747583
4.71592407725807,398,1.760747583
4.88010054916129,399,1.760747583
5.04427702106452,400,1.760747583
5.20845349296774,401,1.760747583
5.37262996487097,402,1.760747583
5.53680643677419,403,1.760747583
5.70098290867742,404,1.760747583
5.86515938058064,405,1.760747583
6.02933585248387,406,1.760747583
6.1935123243871,407,1.760747583
6.35768879629032,408,1.760747583
6.52186526819355,409,1.760747583
6.68604174009677,410,1.760747583
6.850218212,411,1.760747583
7.15611470478571,412,1.760747583
7.46201119757143,413,1.760747583
7.76790769035714,414,1.760747583
8.07380418314286,415,1.760747583
8.37970067592857,416,1.760747583
8.68559716871428,417,1.760747583
8.9914936615,418,1.760747583
9.29739015428571,419,1.760747583
9.60328664707143,420,1.760747583
9.90918313985714,421,1.760747583
10.2150796326429,422,1.760747583
10.5209761254286,423,1.760747583
10.8268726182143,424,1.760747583
11.132769111,425,1.760747583
11.4386656037857,426,1.760747583
11.7445620965714,427,1.760747583
12.0504585893571,428,1.760747583
12.3563550821429,429,1.760747583
12.6622515749286,430,1.760747583
12.9681480677143,431,1.760747583
13.2740445605,432,1.760747583
13.5799410532857,433,1.760747583
13.8858375460714,434,1.760747583
14.1917340388571,435,1.760747583
14.4976305316429,436,1.760747583
14.8035270244286,437,1.760747583
15.1094235172143,438,1.760747583
15.41532001,439,1.760747583
15.7436151612903,440,1.760747583
16.0719103125806,441,1.760747583
16.400205463871,442,1.760747583
16.7285006151613,443,1.760747583
17.0567957664516,444,1.760747583
17.3850909177419,445,1.760747583
17.7133860690323,446,1.760747583
18.0416812203226,447,1.760747583
18.3699763716129,448,1.760747583
18.6982715229032,449,1.760747583
19.0265666741935,450,1.760747583
19.3548618254839,451,1.760747583
19.6831569767742,452,1.760747583
20.0114521280645,453,1.760747583
20.3397472793548,454,1.760747583
20.6680424306452,455,1.760747583
20.9963375819355,456,1.760747583
21.3246327332258,457,1.760747583
21.6529278845161,458,1.760747583
21.9812230358065,459,1.760747583
22.3095181870968,460,1.760747583
22.6378133383871,461,1.760747583
22.9661084896774,462,1.760747583
23.2944036409677,463,1.760747583
23.6226987922581,464,1.760747583
23.9509939435484,465,1.760747583
24.2792890948387,466,1.760747583
24.607584246129,467,1.760747583
24.9358793974194,468,1.760747583
25.2641745487097,469,1.760747583
25.5924697,470,1.760747583
25.8760620933333,471,1.760747583
26.1596544866667,472,1.760747583
26.44324688,473,1.760747583
26.7268392733333,474,1.760747583
27.0104316666667,475,1.760747583
27.29402406,476,1.760747583
27.5776164533333,477,1.760747583
27.8612088466667,478,1.760747583
28.14480124,479,1.760747583
28.4283936333333,480,1.760747583
28.7119860266667,481,1.760747583
28.99557842,482,1.760747583
29.2791708133333,483,1.760747583
29.5627632066667,484,1.760747583
29.8463556,485,1.760747583
30.1299479933333,486,1.760747583
30.4135403866667,487,1.760747583
30.69713278,488,1.760747583
30.9807251733333,489,1.760747583
31.2643175666667,490,1.760747583
31.54790996,491,1.760747583
31.8315023533333,492,1.760747583
32.1150947466667,493,1.760747583
32.39868714,494,1.760747583
32.6822795333333,495,1.760747583
32.9658719266667,496,1.760747583
33.24946432,497,1.760747583
33.5330567133333,498,1.760747583
33.8166491066667,499,1.760747583
34.1002415,500,1.760747583
34.2641868025806,501,1.760747583
34.4281321051613,502,1.760747583
34.5920774077419,503,1.760747583
34.7560227103226,504,1.760747583
34.9199680129032,505,1.760747583
35.0839133154839,506,1.760747583
35.2478586180645,507,1.760747583
35.4118039206452,508,1.760747583
35.5757492232258,509,1.760747583
35.7396945258065,510,1.760747583
35.9036398283871,511,1.760747583
36.0675851309677,512,1.760747583
36.2315304335484,513,1.760747583
36.395475736129,514,1.760747583
36.5594210387097,515,1.760747583
36.7233663412903,516,1.760747583
36.887311643871,517,1.760747583
37.0512569464516,518,1.760747583
37.2152022490323,519,1.760747583
37.3791475516129,520,1.760747583
37.5430928541935,521,1.760747583
37.7070381567742,522,1.760747583
37.8709834593548,523,1.760747583
38.0349287619355,524,1.760747583
38.1988740645161,525,1.760747583
38.3628193670968,526,1.760747583
38.5267646696774,527,1.760747583
38.6907099722581,528,1.760747583
38.8546552748387,529,1.760747583
39.0186005774194,530,1.760747583
39.18254588,531,1.760747583
39.1857706923333,532,1.760747583
39.1889955046667,533,1.760747583
39.192220317,534,1.760747583
39.1954451293333,535,1.760747583
39.1986699416667,536,1.760747583
39.201894754,537,1.760747583
39.2051195663333,538,1.760747583
39.2083443786667,539,1.760747583
39.211569191,540,1.760747583
39.2147940033333,541,1.760747583
39.2180188156667,542,1.760747583
39.221243628,543,1.760747583
39.2244684403333,544,1.760747583
39.2276932526667,545,1.760747583
39.230918065,546,1.760747583
39.2341428773333,547,1.760747583
39.2373676896667,548,1.760747583
39.240592502,549,1.760747583
39.2438173143333,550,1.760747583
39.2470421266667,551,1.760747583
39.250266939,552,1.760747583
39.2534917513333,553,1.760747583
39.2567165636667,554,1.760747583
39.259941376,555,1.760747583
39.2631661883333,556,1.760747583
