,x,y
1,0.45795489,104.0186916
2,2.033509537,109.1523413
3,5.763587709,114.7419011
4,12.41461132,121.3042952
5,17.33110112,130.1038691
6,19.13681963,136.8916759
7,22.56792207,146.9267832
8,26.17935907,153.3163043
9,29.84062537,160.3413878
10,35.17710489,166.6529466
11,43.23995834,175.0338967
12,49.78420491,180.903104
13,56.91453882,187.7078592
14,61.15951964,189.2501574
15,64.47198091,184.5469953
16,67.83901712,179.7760399
17,73.2727824,174.9542395
18,77.64115003,170.9290107
19,81.13869152,167.4783303
20,89.73068456,160.2413927
21,92.94823291,157.0635805
22,98.63351745,154.5298049
23,103.3506901,150.3096702
24,108.7393717,147.741998
25,111.1691428,144.6574016
26,116.3229149,142.265992
27,120.7719585,137.9509467
28,125.1759185,129.8496441
29,128.2131323,124.5007506
30,133.2482632,119.4331994
31,134.9400862,110.4285507
32,142.2531275,107.1998935
33,144.7493376,100.7917292
34,148.6692416,93.46835504
35,151.7064554,87.70253257
36,157.8544405,84.86368699
37,162.9275366,80.40797056
38,170.3710832,76.04546995
39,179.1956129,70.48472229
40,192.4715591,65.60021306
41,204.7699021,61.44956661
42,211.6392254,59.76151276
43,219.3959847,59.76151276
44,229.9835221,59.12764515
45,239.3585468,59.12764515
46,246.7498912,57.54467096
47,252.7127961,55.19902184
48,256.5876165,53.0414992
49,263.6230375,52.61948574
50,267.4812481,50.56704276
51,274.0231218,51.14837054
52,281.5117521,54.05839911
53,291.8406517,56.13456975
54,304.4427161,59.29712847
55,309.1717529,61.43770277
56,316.6366548,63.90199022
57,326.0116796,69.81526318
58,332.6745673,74.72350007
59,336.5493877,78.4487434
60,341.7767173,83.24851097
61,346.3088098,86.21955353
62,353.8282867,93.92934967
63,356.979396,96.10890514
64,360.6454079,102.5899472
65,364.6839531,109.1336981
66,366.9499993,115.2317079
67,369.2326553,119.9382596
68,373.0742562,126.3854051
69,374.7494694,131.1106
70,378.0026101,137.0916663
71,379.2174956,139.928817
72,381.844211,144.7082466
73,385.9088572,150.7401579
74,387.2874675,154.507772
75,389.7670678,160.9600019
76,395.3147286,164.6615176
77,399.8634308,170.1578616
78,404.0823106,174.0034381
79,407.810016,176.8321147
80,412.0455055,184.0504092
81,415.3627124,185.4113602
82,419.5317629,189.5620067
83,422.5191474,185.2571304
84,425.276368,183.2877343
85,428.4440871,181.1539393
86,430.2237045,179.8726454
87,431.8158689,176.3524769
