"","AA","A","B","C","D","E","FF","G","Volume"
"1","37313",0,0,0,0,0,0.000869565217391304,0.00260869565217391,353733.57270281
"2","37887",0,0,0,0,0.00608695652173913,0.00782608695652174,0.00695652173913044,374973.391348918
"3","38476",0,0,0,0,0,0,0.00347826086956522,292068.321363097
"4","39635",0,0,0,0.00158102766798419,0.00158102766798419,0.00553359683794466,0.00395256916996047,1054048.02315908
"5","40213",0,0,0,0.0111801242236025,0.00496894409937888,0.0409937888198758,0.0322981366459627,407112.618007056
"6","40214",0,0,0,0,0.00217391304347826,0.00543478260869565,0.0130434782608696,641722.558480456
"7","40215",0,0,0,0.00579710144927536,0.0115942028985507,0.00579710144927536,0.00579710144927536,509995.409951014
"8","40800",0,0,0,0.00496894409937888,0.00372670807453416,0.0124223602484472,0.0136645962732919,402643.450504181
"9","40801",0,0,0,0.0124223602484472,0.0124223602484472,0.022360248447205,0.0173913043478261,344729.60281131
"10","41430",0,0,0,0.00108695652173913,0.00652173913043478,0.00543478260869565,0.00543478260869565,372698.781872269
"11","41431",0,0,0,0.00608695652173913,0.00695652173913044,0.0104347826086957,0.0182608695652174,435854.884902052
"12","42016",0,0,0,0,0,0,0.00372670807453416,3045170.74933931
"13","42017",0,0,0,0,0,0.00521739130434783,0.00347826086956522,4477823.17340173
"14","42018",0,0,0,0,0,0.011304347826087,0.00869565217391304,3294646.70708807
"15","42019",0,0,0,0,0,0.00260869565217391,0.0165217391304348,3949681.33244635
"16","42020",0,0,0,0,0,0.00434782608695652,0.00956521739130435,3584091.36510196
"17","42021",0,0,0,0.00772946859903382,0.00579710144927536,0.0135265700483092,0.0173913043478261,388830.903285304
"18","42022",0,0,0,0.0115942028985507,0.0106280193236715,0.0154589371980676,0.0173913043478261,360505.090293132
"19","42587",0,0,0,0,0,0,0.00579710144927536,3503894.30815504
"20","42588",0,0,0,0,0.000966183574879227,0.00579710144927536,0.00869565217391304,2634030.84663183
"21","42589",0,0,0,0,0,0.00173913043478261,0.0156521739130435,2941299.16788004
"22","42590",0,0,0,0,0.00193236714975845,0.00193236714975845,0.0202898550724638,3119427.63367715
"23","42591",0,0,0,0.00347826086956522,0.00869565217391304,0.00956521739130435,0.0165217391304348,519699.857487113
"24","42592",0.0111801242236025,0,0,0.0186335403726708,0.053416149068323,0.0496894409937888,0.0509316770186335,373762.046178621
"25","43182",0,0,0,0,0,0,0.00316205533596838,3335848.90943953
"26","43183",0,0,0,0,0,0,0.0062111801242236,4080539.261383
"27","43184",0,0,0,0,0,0,0.00579710144927536,3320705.5741896
"28","43187",0,0,0,0.0434782608695652,0.0739130434782609,0.0652173913043478,0.0652173913043478,461764.598936426
"29","43188",0.0565217391304348,0,0,0.0768115942028986,0.107246376811594,0.108695652173913,0.0826086956521739,416428.977596818
"30","43749",0,0,0,0,0,0.000966183574879227,0.00772946859903382,2776827.70600969
"31","43750",0,0,0,0.0106280193236715,0.00386473429951691,0.01256038647343,0.0318840579710145,4060248.68974258
"32","43751",0,0,0,0,0,0.00289855072463768,0.0173913043478261,3610620.96481171
"33","43754",0.0509057971014493,0.0521739130434783,0.00797101449275362,0.12463768115942,0.109782608695652,0.14963768115942,0.0730072463768116,532092.850577762
"34","43755",0.052112676056338,0.0111145131659522,0.00101041028781384,0.0957746478873239,0.128046540110227,0.114145744029394,0.0714635639926516,412165.741972403
"35","44278",0,0,0,0.00173913043478261,0,0.00521739130434783,0.0147826086956522,3080918.94168459
"36","44279",0.0208695652173913,0,0,0.0130434782608696,0.0347826086956522,0.0356521739130435,0.0617391304347826,3518260.29627873
"37","44280",0.0222222222222222,0,0,0.0154589371980676,0.0444444444444444,0.0521739130434783,0.0599033816425121,3475560.97902061
"38","44283",0,0.0652173913043478,0,0.152173913043478,0.0652173913043478,0.0478260869565217,0.00869565217391304,472030.538422693
"39","44284",0.0202413843245601,0.05339537589065,0.00610731423585866,0.124472880616548,0.0827104842227716,0.0944597935146139,0.031118220154137,393894.266979693
"40","44803",0,0,0,0,0,0,0.00869565217391304,2958390.05615673
"41","44804",0.00521739130434783,0,0,0.00869565217391304,0.0121739130434783,0.0147826086956522,0.048695652173913,3003051.31396075
"42","44805",0.0387351778656126,0.00237154150197628,0,0.0245059288537549,0.041897233201581,0.0703557312252964,0.0458498023715415,3474472.33506353
"43","44806",0.0373913043478261,0.00434782608695652,0,0.0460869565217391,0.0608695652173913,0.0730434782608696,0.0521739130434783,3708437.82462343
"44","44807",0.0139130434782609,0.0260869565217391,0.00260869565217391,0.109565217391304,0.0695652173913043,0.0704347826086957,0.0356521739130435,3137772.16924136
