"","AA","A","B","C","D","E","FF","G","Volume"
"1","37888",0,0,0,0,0,0,0.00395256916996047,420428.111245832
"2","38476",0,0,0,0,0,0.00434782608695652,0.028695652173913,292068.321363097
"3","38477",0,0,0,0,0,0.00695652173913044,0.028695652173913,394441.790052667
"4","38478",0,0,0,0,0,0.000869565217391304,0.00956521739130435,3125536.43578433
"5","38479",0,0,0,0,0,0,0.00608695652173913,3896446.52886244
"6","39058",0,0,0,0,0,0.00260869565217391,0.0269565217391304,296207.319213388
"7","39059",0,0,0,0,0.00072463768115942,0.0166666666666667,0.0442028985507246,383097.590306015
"8","39060",0,0,0,0,0.00072463768115942,0.0188405797101449,0.027536231884058,2588233.02082878
"9","39061",0,0,0,0,0,0.00695652173913044,0.0156521739130435,3074553.88697863
"10","39626",0,0,0,0,0,0.0115942028985507,0.00676328502415459,249773.580853927
"11","39627",0,0,0,0,0,0.00652173913043478,0.00543478260869565,220139.844008768
"12","39628",0,0,0,0,0.0147826086956522,0.0452173913043478,0.0382608695652174,316064.608935504
"13","39629",0,0,0,0,0.00632411067193676,0.0181818181818182,0.0363636363636364,2975544.9369158
"14","39630",0,0,0,0,0,0.00579710144927536,0.0268115942028985,3159276.18826924
"15","40205",0,0,0,0,0.00608695652173913,0.00782608695652174,0.00956521739130435,272876.277000945
"16","40206",0,0,0,0.00237154150197628,0.033201581027668,0.0411067193675889,0.0292490118577075,303889.931554764
"17","40207",0,0,0,0,0.0134387351778656,0.0411067193675889,0.0648221343873518,3448269.11200592
"18","40208",0,0,0,0,0.00676328502415459,0.0376811594202899,0.0657004830917874,4015992.6566261
"19","40209",0,0,0,0,0,0.00608695652173913,0.0252173913043478,4534666.68314938
"20","40210",0,0,0,0,0,0,0.00158102766798419,3735315.56636225
"21","40213",0.0062111801242236,0,0,0,0,0,0,407112.618007056
"22","40793",0,0,0,0,0.00772946859903382,0.00966183574879227,0.0106280193236715,335045.385072136
"23","40794",0,0,0,0.0106280193236715,0.029951690821256,0.0193236714975845,0.0222222222222222,391934.118779157
"24","40795",0,0,0,0.00608695652173913,0.0408695652173913,0.0643478260869565,0.0652173913043478,3483402.05880339
"25","40796",0,0,0,0.000869565217391304,0.0452173913043478,0.0660869565217391,0.101739130434783,4032750.37836101
"26","40797",0,0,0,0,0.0110671936758893,0.0387351778656126,0.0774703557312253,2080671.76994105
"27","40798",0,0,0,0,0,0.0165217391304348,0.0365217391304348,3618010.81056335
"28","40799",0,0,0,0,0,0.00956521739130435,0.0226086956521739,2768271.09347803
"29","40800",0.00496894409937888,0,0,0,0,0.00248447204968944,0.0111801242236025,402643.450504181
"30","40801",0.0409937888198758,0,0,0,0,0.00124223602484472,0.0136645962732919,344729.60281131
"31","41424",0,0,0,0.00468227424749164,0.0120401337792642,0.00936454849498328,0.0107023411371237,367382.172290881
"32","41425",0,0,0,0.00507246376811594,0.0181159420289855,0.0188405797101449,0.0130434782608696,414153.723964071
"33","41426",0,0,0,0.0234782608695652,0.0626086956521739,0.0417391304347826,0.0408695652173913,3524747.0427531
"34","41427",0,0,0,0.0304347826086957,0.0747826086956522,0.104347826086957,0.101739130434783,5233359.44626161
"35","41428",0,0,0,0.0108695652173913,0.0358695652173913,0.083695652173913,0.115217391304348,3945637.44548625
"36","41429",0,0,0,0,0.0229249011857708,0.0324110671936759,0.0711462450592885,2092161.16249417
"37","41430",0.00869565217391304,0,0,0,0.0108695652173913,0.0293478260869565,0.075,372698.781872269
"38","41431",0.0347826086956522,0,0,0,0.00521739130434783,0.0478260869565217,0.0443478260869565,435854.884902052
"39","42014",0,0,0,0,0,0.000966183574879227,0.00193236714975845,330788.400835692
"40","42015",0,0,0,0.00289855072463768,0.00289855072463768,0.00676328502415459,0.00869565217391304,1040352.05124421
"41","42016",0,0,0,0.00993788819875776,0.0459627329192547,0.0248447204968944,0.0173913043478261,3045170.74933931
"42","42017",0,0,0,0.02,0.0408695652173913,0.0278260869565217,0.0304347826086957,4477823.17340173
"43","42018",0,0,0,0.0721739130434783,0.0878260869565217,0.0626086956521739,0.06,3294646.70708807
"44","42019",0,0,0,0.0573913043478261,0.129565217391304,0.12,0.1,3949681.33244635
"45","42020",0,0,0,0.028695652173913,0.0660869565217391,0.110434782608696,0.113913043478261,3584091.36510196
