"","AA","A","B","C","D","E","FF","G","Volume"
"1","36100",0,0,0,0,0,0,0.000869565217391304,3328428.61185866
"2","36101",0,0,0,0,0,0,0.00347826086956522,3936319.27749146
"3","36103",0,0,0,0,0,0,0.000869565217391304,5263528.42853659
"4","36745",0,0,0,0,0,0,0.00124223602484472,5754425.9621047
"5","36746",0,0,0,0,0,0,0.00217391304347826,3861595.25348134
"6","36747",0,0,0,0,0,0,0.00483091787439614,3626698.41028128
"7","36750",0.00579710144927536,0,0,0,0,0,0,639956.702427377
"8","37319",0,0,0,0,0,0,0.00260869565217391,2979098.14123343
"9","37320",0,0,0,0,0,0,0.00474308300395257,2737053.17737464
"10","37321",0,0,0,0,0,0,0.00386473429951691,3049736.87022282
"11","37895",0,0,0,0,0,0,0.00521739130434783,1859221.89657387
"12","37896",0,0,0,0,0,0,0.000966183574879227,2348330.56784266
"13","38484",0,0,0,0,0,0,0.00372670807453416,2693025.03233116
"14","38485",0,0,0,0,0,0,0.00386473429951691,1330713.6501603
"15","38486",0,0,0,0,0,0.00386473429951691,0.0115942028985507,1111092.39566555
"16","38487",0,0,0,0,0,0,0.000790513833992095,1281415.6815753
"17","39062",0,0,0,0,0,0,0.00434782608695652,5423664.24330042
"18","39067",0,0,0,0,0.00173913043478261,0.00521739130434783,0.00608695652173913,692482.338638414
"19","39068",0,0,0,0,0,0.00507246376811594,0.00797101449275362,710578.23310151
"20","39629",0,0,0,0,0,0,0.00158102766798419,2975544.9369158
"21","39630",0,0,0,0,0,0,0.0108695652173913,3159276.18826924
"22","39631",0,0,0,0,0.00108695652173913,0.00543478260869565,0.00978260869565217,4217703.87199508
"23","39632",0,0,0,0,0,0.00326086956521739,0.0184782608695652,3445741.03773746
"24","39633",0,0,0,0,0,0,0.00760869565217391,1447401.87699027
"25","39634",0,0,0,0,0,0.00483091787439614,0.0251207729468599,688598.081731103
"26","39635",0.0126482213438735,0,0,0.00158102766798419,0.0158102766798419,0.0134387351778656,0.0268774703557312,1054048.02315908
"27","39636",0.00237154150197628,0,0,0,0.00790513833992095,0.0102766798418972,0.0134387351778656,683098.764726695
"28","40207",0,0,0,0,0,0.00711462450592885,0.0158102766798419,3448269.11200592
"29","40208",0,0,0,0,0,0.0164251207729469,0.0309178743961353,4015992.6566261
"30","40209",0,0,0,0,0.000869565217391304,0.00347826086956522,0.0347826086956522,4534666.68314938
"31","40210",0,0,0,0,0.00632411067193676,0.0118577075098814,0.0213438735177866,3735315.56636225
"32","40211",0,0,0,0,0.00248447204968944,0.0273291925465838,0.0385093167701863,840999.21944447
"33","40212",0,0,0,0,0.021256038647343,0.0444444444444444,0.063768115942029,759149.809849681
"34","40213",0.0149068322981366,0.00496894409937888,0,0.0248447204968944,0.0422360248447205,0.093167701863354,0.0869565217391304,407112.618007056
"35","40214",0.0489130434782609,0.016304347826087,0.00326086956521739,0.0597826086956522,0.0489130434782609,0.0673913043478261,0.0315217391304348,641722.558480456
"36","40215",0.0106280193236715,0,0,0.0193236714975845,0.0280193236714976,0.0347826086956522,0.0309178743961353,509995.409951014
"37","40216",0,0,0,0,0,0,0.00260869565217391,334214.827100541
"38","40794",0,0,0,0,0,0.00193236714975845,0.00193236714975845,391934.118779157
"39","40795",0,0,0,0,0.00956521739130435,0.0295652173913044,0.0252173913043478,3483402.05880339
"40","40796",0,0,0,0,0.0130434782608696,0.0365217391304348,0.0469565217391304,4032750.37836101
"41","40797",0,0,0,0,0.00237154150197628,0.0387351778656126,0.0616600790513834,2080671.76994105
"42","40798",0,0,0,0.0147826086956522,0.0382608695652174,0.0530434782608696,0.071304347826087,3618010.81056335
"43","40799",0,0,0,0.00260869565217391,0.0234782608695652,0.028695652173913,0.0547826086956522,2768271.09347803
"44","40800",0,0,0,0.0273291925465838,0.0658385093167702,0.0919254658385093,0.0807453416149068,402643.450504181
"45","40801",0.0161490683229814,0.0496894409937888,0.00372670807453416,0.0745341614906832,0.0944099378881988,0.108074534161491,0.053416149068323,344729.60281131
"46","41424",0,0,0,0,0.000668896321070234,0.0020066889632107,0.0020066889632107,367382.172290881
"47","41425",0,0,0,0,0.00217391304347826,0.00217391304347826,0.00289855072463768,414153.723964071
"48","41426",0,0,0,0.00260869565217391,0.0234782608695652,0.0208695652173913,0.0191304347826087,3524747.0427531
"49","41427",0,0,0,0,0.0243478260869565,0.04,0.0460869565217391,5233359.44626161
"50","41428",0,0,0,0,0.0347826086956522,0.05,0.0576086956521739,3945637.44548625
"51","41429",0,0,0,0,0.0158102766798419,0.0569169960474308,0.0679841897233202,2092161.16249417
"52","41430",0.00326086956521739,0.00543478260869565,0.00108695652173913,0.0684782608695652,0.0989130434782609,0.0902173913043478,0.066304347826087,372698.781872269
"53","41431",0.00695652173913044,0.0391304347826087,0.00347826086956522,0.112173913043478,0.0756521739130435,0.0678260869565217,0.0365217391304348,435854.884902052
"54","42016",0,0,0,0.00496894409937888,0.0161490683229814,0.0173913043478261,0.0173913043478261,3045170.74933931
"55","42017",0,0,0,0.00434782608695652,0.0191304347826087,0.0208695652173913,0.0191304347826087,4477823.17340173
"56","42018",0,0,0,0.00434782608695652,0.0426086956521739,0.0495652173913043,0.0304347826086957,3294646.70708807
"57","42019",0,0,0,0.0156521739130435,0.0669565217391304,0.0556521739130435,0.0556521739130435,3949681.33244635
"58","42020",0,0,0,0.00434782608695652,0.0660869565217391,0.0547826086956522,0.0556521739130435,3584091.36510196
"59","42021",0,0.00386473429951691,0.00193236714975845,0.121739130434783,0.11207729468599,0.0753623188405797,0.0434782608695652,388830.903285304
"60","42022",0.00966183574879227,0.0154589371980676,0,0.109178743961353,0.0502415458937198,0.0347826086956522,0.0164251207729469,360505.090293132
"61","42585",0,0,0,0,0.00124223602484472,0.00124223602484472,0,2914737.74473405
"62","42586",0,0,0,0.00260869565217391,0.00434782608695652,0.00521739130434783,0.00434782608695652,3339858.61343573
"63","42587",0,0,0,0.00434782608695652,0.0289855072463768,0.0159420289855072,0.0202898550724638,3503894.30815504
"64","42588",0,0,0,0.00966183574879227,0.0570048309178744,0.0444444444444444,0.0483091787439614,2634030.84663183
"65","42589",0,0,0,0.0747826086956522,0.0886956521739131,0.0591304347826087,0.0747826086956522,2941299.16788004
"66","42590",0,0,0,0.128502415458937,0.0995169082125604,0.0801932367149758,0.0560386473429952,3119427.63367715
"67","42591",0.00173913043478261,0.0173913043478261,0.000869565217391304,0.163478260869565,0.0695652173913043,0.0565217391304348,0.0260869565217391,519699.857487113
"68","42592",0.00248447204968944,0.00745341614906832,0,0.0335403726708075,0.00124223602484472,0.00869565217391304,0,373762.046178621
"69","43183",0,0,0,0.00248447204968944,0.0111801242236025,0.0198757763975155,0.0124223602484472,4080539.261383
"70","43184",0,0,0,0.0202898550724638,0.0202898550724638,0.0115942028985507,0.0318840579710145,3320705.5741896
"71","43187",0,0.00434782608695652,0,0.0782608695652174,0.0521739130434783,0.0260869565217391,0.0217391304347826,461764.598936426
"72","43750",0,0,0,0.00772946859903382,0.0222222222222222,0.00676328502415459,0.00386473429951691,4060248.68974258
"73","43751",0,0,0,0.00289855072463768,0.00869565217391304,0.0144927536231884,0.00579710144927536,3610620.96481171
"74","43754",0,0.00036231884057971,0,0,0,0,0,532092.850577762
"75","43755",0,0.00333741579914268,0,0.00119412124923454,0,0,0,412165.741972403
"76","44279",0,0,0,0.00521739130434783,0.00260869565217391,0,0,3518260.29627873
"77","44280",0,0,0,0.0492753623188406,0.0193236714975845,0.00676328502415459,0.000966183574879227,3475560.97902061
"78","44284",0,0.00148320488585139,0.000116329794968736,0.00322815181038243,0.00148320488585139,0,0,393894.266979693
"79","44806",0,0,0,0.00260869565217391,0,0,0,3708437.82462343
"80","44807",0,0,0,0.00347826086956522,0,0,0,3137772.16924136
"81","44808",0,0,0,0.0561264822134387,0.00237154150197628,0,0,2291452.08849106
"82","44809",0,0,0,0.0142292490118577,0,0,0,644482.004828411
"83","44810",0,0,0,0.00316205533596838,0,0,0,494985.36544682
