"","AA","A","B","C","D","E","FF","G","Volume"
"1","37311",0,0,0,0,0.00260869565217391,0.000869565217391304,0,449195.365864906
"2","39634",0,0,0,0,0,0.000966183574879227,0.00193236714975845,688598.081731103
"3","39635",0,0,0,0.00237154150197628,0.00632411067193676,0.0142292490118577,0.0134387351778656,1054048.02315908
"4","40213",0,0,0,0.00993788819875776,0.00745341614906832,0.0372670807453416,0.0422360248447205,407112.618007056
"5","40214",0,0,0,0.00434782608695652,0.00434782608695652,0.00326086956521739,0.00326086956521739,641722.558480456
"6","40215",0,0,0,0.00676328502415459,0.0115942028985507,0.0115942028985507,0.00676328502415459,509995.409951014
"7","40796",0,0,0,0,0,0,0.00869565217391304,4032750.37836101
"8","40797",0,0,0,0,0,0,0.00632411067193676,2080671.76994105
"9","40800",0,0,0,0.00869565217391304,0.00496894409937888,0.0136645962732919,0.0173913043478261,402643.450504181
"10","40801",0,0,0,0.00993788819875776,0.0111801242236025,0.0211180124223602,0.0248447204968944,344729.60281131
"11","41426",0,0,0,0,0,0,0.00869565217391304,3524747.0427531
"12","41427",0,0,0,0,0,0.0104347826086957,0.0147826086956522,5233359.44626161
"13","41428",0,0,0,0,0,0.0152173913043478,0.0184782608695652,3945637.44548625
"14","41429",0,0,0,0,0,0.00632411067193676,0.0142292490118577,2092161.16249417
"15","41430",0,0,0,0.00326086956521739,0.00217391304347826,0.00652173913043478,0.0239130434782609,372698.781872269
"16","41431",0,0,0,0.0173913043478261,0.011304347826087,0.0365217391304348,0.0452173913043478,435854.884902052
"17","42016",0,0,0,0,0,0.00745341614906832,0.00496894409937888,3045170.74933931
"18","42017",0,0,0,0,0.00347826086956522,0.00434782608695652,0.00260869565217391,4477823.17340173
"19","42018",0,0,0,0,0.00347826086956522,0.0104347826086957,0.00434782608695652,3294646.70708807
"20","42019",0,0,0,0,0,0.011304347826087,0.0191304347826087,3949681.33244635
"21","42020",0,0,0,0,0,0.0147826086956522,0.02,3584091.36510196
"22","42021",0,0,0,0.00193236714975845,0.00676328502415459,0.0251207729468599,0.0309178743961353,388830.903285304
"23","42022",0.0106280193236715,0,0,0.021256038647343,0.0444444444444444,0.0550724637681159,0.0541062801932367,360505.090293132
"24","42589",0,0,0,0,0.00173913043478261,0.0243478260869565,0.0191304347826087,2941299.16788004
"25","42590",0,0,0,0,0,0.00772946859903382,0.0231884057971014,3119427.63367715
"26","42591",0.00782608695652174,0,0,0.0130434782608696,0.0347826086956522,0.0478260869565217,0.0643478260869565,519699.857487113
"27","42592",0.0273291925465838,0,0,0.0335403726708075,0.126708074534161,0.147826086956522,0.11055900621118,373762.046178621
"28","43183",0,0,0,0,0,0,0.00496894409937888,4080539.261383
"29","43187",0.0173913043478261,0.00869565217391304,0.00434782608695652,0.0956521739130435,0.0652173913043478,0.091304347826087,0.0739130434782609,461764.598936426
"30","43188",0.0536231884057971,0.00434782608695652,0.00144927536231884,0.0797101449275362,0.120289855072464,0.165217391304348,0.0623188405797101,416428.977596818
"31","43749",0,0,0,0,0,0,0.00772946859903382,2776827.70600969
"32","43750",0,0,0,0.00289855072463768,0.00483091787439614,0.0347826086956522,0.0289855072463768,4060248.68974258
"33","43751",0,0,0,0,0,0.00289855072463768,0.0173913043478261,3610620.96481171
"34","43754",0.0177536231884058,0.0454710144927536,0.00634057971014493,0.192572463768116,0.0748188405797101,0.0583333333333333,0.0103260869565217,532092.850577762
"35","43755",0.0374157991426822,0.0654317207593386,0.00762400489895897,0.125597060624617,0.104592774035517,0.0943355786895285,0.0204531537048377,412165.741972403
"36","44277",0,0,0,0,0,0,0.00072463768115942,2896988.64762583
"37","44278",0,0,0,0,0,0.0104347826086957,0.0173913043478261,3080918.94168459
"38","44279",0.0130434782608696,0,0,0.00608695652173913,0.0652173913043478,0.0417391304347826,0.0408695652173913,3518260.29627873
"39","44280",0.0106280193236715,0,0,0.0231884057971014,0.0463768115942029,0.0589371980676328,0.0434782608695652,3475560.97902061
"40","44283",0,0.0347826086956522,0,0.126086956521739,0.0130434782608696,0,0,472030.538422693
"41","44284",0.00625272647956958,0.0418496437400029,0.0062236440308274,0.117493092918424,0.0611894721535553,0.0198051475934274,0.00444961465755417,393894.266979693
"42","44803",0,0,0,0,0,0.00289855072463768,0.00483091787439614,2958390.05615673
"43","44804",0,0,0,0.000869565217391304,0.0139130434782609,0.00695652173913044,0.0260869565217391,3003051.31396075
"44","44805",0.00869565217391304,0.00395256916996047,0.000790513833992095,0.0308300395256917,0.0403162055335968,0.0371541501976285,0.0316205533596838,3474472.33506353
"45","44806",0.0156521739130435,0.00521739130434783,0.000869565217391304,0.0478260869565217,0.0460869565217391,0.0391304347826087,0.0191304347826087,3708437.82462343
"46","44807",0.00608695652173913,0.0234782608695652,0.00521739130434783,0.109565217391304,0.0626086956521739,0.0678260869565217,0.0460869565217391,3137772.16924136
"47","44808",0.00869565217391304,0.041897233201581,0.00316205533596838,0.158893280632411,0.0545454545454545,0.049802371541502,0.0363636363636364,2291452.08849106
"48","44809",0,0.0102766798418972,0.000790513833992095,0.105138339920949,0.0308300395256917,0.0197628458498024,0.00237154150197628,644482.004828411
"49","44810",0,0.00553359683794466,0,0.0592885375494071,0.00632411067193676,0.000790513833992095,0,494985.36544682
"50","44811",0,0.00869565217391304,0,0.0782608695652174,0.00289855072463768,0,0,379425.211452482
"51","45324",0,0,0,0,0.000790513833992095,0.00158102766798419,0.016600790513834,1756036.99201627
"52","45325",0,0,0,0.000869565217391304,0.00347826086956522,0.0147826086956522,0.0278260869565217,1840809.02182737
"53","45326",0.011304347826087,0.00347826086956522,0,0.0347826086956522,0.0365217391304348,0.0373913043478261,0.0191304347826087,3069420.52229003
"54","45327",0.00695652173913044,0.00434782608695652,0.00173913043478261,0.0704347826086957,0.051304347826087,0.0469565217391304,0.0252173913043478,3092978.12496069
"55","45328",0,0.0164251207729469,0.000966183574879227,0.093719806763285,0.0531400966183575,0.0289855072463768,0.0357487922705314,2894893.82131643
"56","45329",0,0.01256038647343,0.000966183574879227,0.0570048309178744,0.0270531400966184,0.021256038647343,0.0154589371980676,2858329.70901627
"57","45330",0.00144927536231884,0.0195652173913043,0.00144927536231884,0.114492753623188,0.041304347826087,0.027536231884058,0.0246376811594203,2553250.5908457
"58","45331",0,0.000966183574879227,0,0.0280193236714976,0.00579710144927536,0.000966183574879227,0.000966183574879227,402435.80097538
"59","45332",0,0.000869565217391304,0.000869565217391304,0.0121739130434783,0.00173913043478261,0.00260869565217391,0,393395.544936138
"60","45812",0,0,0,0.000869565217391304,0.00347826086956522,0.011304347826087,0.0147826086956522,1410580.43835981
"61","45813",0.000869565217391304,0,0,0.00521739130434783,0.0173913043478261,0.0182608695652174,0.0165217391304348,1495135.72165673
"62","45814",0.00676328502415459,0.00579710144927536,0,0.0647342995169082,0.0357487922705314,0.0260869565217391,0.0222222222222222,3544694.06011725
"63","45815",0.00193236714975845,0.0115942028985507,0.00289855072463768,0.0772946859903382,0.0444444444444444,0.0309178743961353,0.0222222222222222,2955401.6707804
"64","45816",0.00289855072463768,0.00966183574879227,0.000966183574879227,0.107246376811594,0.0270531400966184,0.0318840579710145,0.0280193236714976,2816341.82136764
"65","45817",0.00072463768115942,0.00289855072463768,0.00144927536231884,0.0840579710144927,0.0202898550724638,0.0181159420289855,0.00652173913043478,2885284.43116877
"66","45818",0,0,0,0.0297101449275362,0.00797101449275362,0.00217391304347826,0.00217391304347826,440776.141263038
"67","45819",0,0,0,0.0243478260869565,0.00260869565217391,0,0,387074.457911968
"68","45820",0,0,0,0.0191304347826087,0.00260869565217391,0.000869565217391304,0.00173913043478261,419947.805405367
"69","45821",0.000869565217391304,0,0,0.0147826086956522,0.000869565217391304,0,0,339435.938052298
"70","46234",0,0,0,0,0.00521739130434783,0.00695652173913044,0.0104347826086957,1450354.46445756
