"DaysSince2014","temperature_fit"
88,7.63930373600346
89,7.6994164219323
90,7.75931763156849
91,7.81900331777686
92,7.87846942128319
93,7.93771187199397
94,7.99672659046235
95,8.05550948952102
96,8.11405653713021
97,8.17236393188535
98,8.23042790495818
99,8.28824465821144
100,8.34581036589332
101,8.40312117655695
102,8.46017321523301
103,8.51696263315861
104,8.57348575141669
105,8.62973892009652
106,8.68571847321433
107,8.7414207314259
108,8.79684200511024
109,8.85197859786518
110,8.90682684995868
111,8.96138326738277
112,9.0156444189377
113,9.06960690356898
114,9.12326735620647
115,9.17662245418441
116,9.22966892428501
117,9.28240338648528
118,9.33482183252051
119,9.38692005936797
120,9.43869383116131
121,9.49013888717887
122,9.54125095063445
123,9.59202573845121
124,9.64245897702748
125,9.69254643344658
126,9.74228392338089
127,9.79166732414746
128,9.84069302867419
129,9.88935941246024
130,9.93766581162492
131,9.9856121793861
132,10.0331991509546
133,10.0804281165644
134,10.1273013033761
135,10.1738218665408
136,10.219993988703
137,10.2658229852128
138,10.3113166336142
139,10.3564894110508
140,10.4013597825379
141,10.4459492599592
142,10.4902824397469
143,10.5343867511498
144,10.5782916458355
145,10.62202563608
146,10.6656087943911
147,10.7090487935598
148,10.7523315174671
149,10.7954070377535
150,10.8381768009681
151,10.8804986495283
152,10.9222460798174
153,10.9634833514259
154,10.9890981046164
155,11.0141019137292
156,11.0392859008276
157,11.0654615454475
158,11.0931284610348
159,11.1224795189582
160,11.1535035868492
161,11.1860812937339
162,11.2200488258727
163,11.2552337278325
164,11.2914725230799
165,11.3286180441794
166,11.366541438745
167,11.4051316479827
168,11.444293831004
169,11.4807400120439
170,11.5136700510263
171,11.5461694389566
172,11.5781988896687
173,11.6189664603157
174,11.6648617159786
175,11.7179728172525
176,11.7642701130578
177,11.7979009742325
178,11.8309507220448
179,11.8632894488287
180,11.9347092342443
181,12.0140187081402
182,12.096852793194
183,12.1577344618112
184,12.1970236051749
185,12.2355733810843
186,12.2732758035683
187,12.3544288189139
188,12.4271509177389
189,12.490888463153
190,12.5371698321277
191,12.5716267520778
192,12.6048568962114
193,12.6369930257549
194,12.6835420010662
195,12.7240100825363
196,12.7597047206437
197,12.789377068918
198,12.8155060068
199,12.8410228514165
200,12.8661361318331
201,12.8925760446629
202,12.9166684174618
203,12.9387861256977
204,12.9602829874696
205,12.9829294659982
206,13.0040597007879
207,13.0218859972942
208,13.0383770518635
209,13.0536185192065
210,13.0768602209506
211,13.1027554132295
212,13.1321823872332
213,13.1660715625312
214,13.2054688069179
215,13.2172447718229
216,13.2269186881821
217,13.2344010721995
218,13.2574590858106
219,13.3018080591064
220,13.3508355694722
221,13.4025312107547
222,13.3954071585747
223,13.384918409833
224,13.3714405678611
225,13.3802786491799
226,13.4088902412531
227,13.4278150293204
228,13.4346008625769
229,13.400735932461
230,13.365865863275
231,13.3305248802766
232,13.2957452917851
233,13.2623415558805
234,13.2307453549209
235,13.2010697799768
236,13.1732254273017
237,13.1470183372787
238,13.1222149513335
239,13.0985793914334
240,13.0758921919857
241,13.0539580112465
242,13.0326073549746
243,13.0116953406168
244,12.9910992012961
245,12.9707154266404
246,12.9504569805609
247,12.9302507872703
248,12.9100355473513
249,12.8897598822505
250,12.8693814541318
251,12.8452696602822
252,12.8165895440293
253,12.7867249179969
254,12.7647673965206
255,12.7415414951203
256,12.7098215166796
257,12.67689720522
258,12.6428267588562
259,12.6076897363309
260,12.5715935486588
